metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
macaques_0.2_0.6_0.8_0.3_doublekalman,71.756,69.579,74.328,73.403,81.466,80.874,80.161,83.353,73.846,89.529,80.483,72.056,86.908,80.898,86.957,88.529,98.254,80.952,14.286,4.7619,10975,1422,195,6,34,6,2,105,69.998,88.48,84.101,93.339,10426,1971,744,11170,12397,39,42
macaques_0.2_0.6_0.8_0.3_singlekalman,73.952,71.591,76.76,76.069,80.829,81.124,83.083,83.217,76.394,92.592,80.242,74.298,89.417,80.763,89.53,91.821,97.566,85.714,9.5238,4.7619,11383,1014,284,14,36,4,2,132,71.753,93.093,90.353,96.006,11201,1196,466,11667,12397,47,42
macaques_0.2_0.6_0.8_0.4_doublekalman,71.735,69.409,74.461,73.204,81.508,80.761,80.346,83.371,73.812,89.466,80.514,72.032,86.666,80.923,86.715,88.263,98.276,80.952,14.286,4.7619,10942,1455,192,6,34,6,2,101,69.828,88.581,84.069,93.605,10422,1975,712,11134,12397,39,42
macaques_0.2_0.6_0.8_0.4_singlekalman,74.264,71.631,77.35,76.105,80.846,81.289,83.962,83.218,76.707,93.054,80.247,74.673,89.506,80.752,89.602,91.869,97.592,85.714,9.5238,4.7619,11389,1008,281,12,36,4,2,130,71.823,93.472,90.732,96.384,11248,1149,422,11670,12397,49,42
macaques_0.2_0.6_0.8_0.5_doublekalman,72.465,69.251,76.155,73.008,81.524,80.963,82.888,83.361,74.546,90.461,80.473,72.797,86.448,80.921,86.473,88.013,98.28,78.571,14.286,7.1429,10911,1486,191,3,33,6,3,104,69.657,89.978,85.279,95.226,10572,1825,530,11102,12397,40,42
macaques_0.2_0.6_0.8_0.5_singlekalman,73.873,71.526,76.648,76.088,80.717,80.215,84.437,83.199,76.348,92.661,80.218,74.331,89.385,80.731,89.506,91.885,97.476,85.714,9.5238,4.7619,11391,1006,295,15,36,4,2,126,71.679,92.281,89.635,95.088,11112,1285,574,11686,12397,50,42
macaques_0.2_0.6_0.8_0.6_doublekalman,72.523,69.005,76.549,72.673,81.606,80.141,84.388,83.361,74.568,90.475,80.501,72.833,86.198,80.906,86.231,87.642,98.415,78.571,11.905,9.5238,10865,1532,175,4,33,5,4,100,69.464,90.686,85.722,96.259,10627,1770,413,11040,12397,44,42
macaques_0.2_0.6_0.8_0.6_singlekalman,73.644,71.516,76.193,76.058,80.734,79.576,84.519,83.195,76.106,92.26,80.225,74.016,89.417,80.734,89.546,91.877,97.525,85.714,9.5238,4.7619,11390,1007,289,16,36,4,2,125,71.715,91.926,89.264,94.751,11066,1331,613,11679,12397,53,42
macaques_0.2_0.6_0.8_0.7_doublekalman,72.762,69.288,76.721,72.903,81.805,80.383,84.454,83.469,74.772,90.563,80.689,73.074,86.521,81.035,86.553,87.836,98.561,78.571,11.905,9.5238,10889,1508,159,4,33,5,4,90,69.863,90.902,85.956,96.452,10656,1741,392,11048,12397,44,42
macaques_0.2_0.6_0.8_0.7_singlekalman,73.618,71.596,76.058,76.041,80.869,79.404,84.644,83.226,76.03,92.114,80.283,73.951,89.554,80.758,89.675,91.853,97.684,85.714,9.5238,4.7619,11387,1010,270,15,36,4,2,123,71.88,91.561,88.828,94.467,11012,1385,645,11657,12397,54,42
macaques_0.2_0.6_0.8_0.8_doublekalman,72.26,69.119,75.871,72.684,81.863,79.39,84.53,83.49,74.243,89.754,80.728,72.457,86.311,81.052,86.384,87.586,98.646,76.19,14.286,9.5238,10858,1539,149,9,32,6,4,90,69.715,90.412,85.343,96.121,10580,1817,427,11007,12397,46,42
