metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
macaques_macaquecp_170,66.559,65.295,68.217,69.547,76.87,71.37,80.488,80.468,68.841,87.299,76.645,66.911,85.004,77.297,85.182,87.828,97.076,76.19,19.048,4.7619,10888,1509,328,22,32,8,2,42,65.065,86.605,82.48,91.164,10225,2172,991,11216,12397,58,42
macaques_macaquecp_170_1e-5,71.173,67.608,75.222,72.892,79.799,78.875,84.376,83.728,74.034,87.954,80.904,71.158,83.165,81.383,83.278,87.311,95.585,80.952,9.5238,9.5238,10824,1573,500,14,34,4,4,21,66.911,87.071,83.302,91.196,10327,2070,997,11324,12397,59,42
macaques_macaquecp_170_5e-5,70.789,68.713,73.303,73.02,80.998,76.836,84.398,83.53,73.136,87.626,80.709,70.722,85.15,81.171,85.279,87.715,97.298,76.19,14.286,9.5238,10874,1523,302,16,32,6,4,33,68.634,86.472,82.213,91.195,10192,2205,984,11176,12397,60,42
macaques_macaquecp_180,66.178,65.589,67.179,70.094,77.035,70.864,79.577,80.812,68.579,85.921,77.1,66.245,84.948,77.69,85.214,88.102,96.826,78.571,11.905,9.5238,10922,1475,358,33,33,5,4,41,65.292,83.913,80.132,88.067,9934,2463,1346,11280,12397,63,42
macaques_macaquecp_180_1e-5,71.192,67.326,75.583,73.257,79.143,78.8,85.43,83.854,74.395,87.686,81.109,71.121,82.762,81.463,82.883,87.723,94.771,76.19,16.667,7.1429,10875,1522,600,15,32,7,3,27,66.501,87.609,84.351,91.129,10457,1940,1018,11475,12397,61,42
macaques_macaquecp_180_5e-5,71.668,69.128,74.638,73.459,81.252,78.178,84.501,83.74,74.027,88.627,80.958,71.751,85.537,81.427,85.634,88.021,97.359,78.571,11.905,9.5238,10912,1485,296,12,33,5,4,30,69.188,87.744,83.536,92.398,10356,2041,852,11208,12397,57,42
macaques_macaquecp_190,66.225,65.069,67.787,69.416,76.671,70.818,80.373,80.412,68.56,86.804,76.526,66.427,84.859,77.198,85.069,87.804,96.98,80.952,14.286,4.7619,10885,1512,339,26,34,6,2,49,64.838,85.847,81.786,90.333,10139,2258,1085,11224,12397,58,42
macaques_macaquecp_190_1e-5,70.727,67.083,74.88,72.886,79.115,78.647,84.137,83.66,73.86,87.7,80.698,70.772,82.351,81.307,82.496,87.311,94.773,76.19,11.905,11.905,10824,1573,597,18,32,5,5,38,66.03,86.397,82.996,90.088,10289,2108,1132,11421,12397,66,42
macaques_macaquecp_190_5e-5,71.238,68.924,73.979,73.061,81.349,77.324,84.651,83.665,73.498,87.828,80.96,71.106,85.432,81.332,85.521,87.666,97.611,78.571,11.905,9.5238,10868,1529,266,11,33,5,4,27,69.066,87.289,82.843,92.24,10270,2127,864,11134,12397,58,42
macaques_macaquecp_20,64.225,60.88,68.118,67.712,72.81,71.637,80.148,80.185,67.887,85.423,75.793,64.744,79.011,77.006,79.205,86.101,92.584,76.19,14.286,9.5238,10674,1723,855,24,32,6,4,45,59.213,82.755,79.858,85.87,9900,2497,1629,11529,12397,63,42
macaques_macaquecp_200,66.511,65.274,68.108,69.529,77.139,71.133,80.672,80.656,68.789,86.98,76.897,66.884,84.787,77.527,85.004,87.57,97.154,78.571,11.905,9.5238,10856,1541,318,27,33,5,4,38,65.107,85.665,81.439,90.353,10096,2301,1078,11174,12397,59,42
macaques_macaquecp_200_1e-5,71.603,68.599,75.037,73.785,79.873,78.713,84.029,83.487,74.396,88.859,80.609,71.628,84.762,81.089,84.892,88.634,95.948,80.952,14.286,4.7619,10988,1409,464,16,34,6,2,31,68.001,88.213,84.851,91.853,10519,1878,933,11452,12397,58,42
