,HOTA,DetA,AssA,MOTA,IDF1,IDs,train_data,seed,epoch
0,66.222,61.79,71.415,79.205,85.96,55,macaquecpw,3,60
0,56.796,50.503,64.153,63.386,76.342,49,macaquecp,1,40
0,66.649,62.678,71.346,82.609,88.753,55,macaquecpw,3,200
0,64.686,59.939,70.14,78.156,85.453,57,macaquecp,3,190
0,65.301,59.989,71.442,73.252,84.068,57,macaquecp,1,130
0,62.92,58.475,67.986,75.15,83.457,55,macaquepose,1,190
0,60.028,55.228,65.833,71.77,81.201,59,macaquepose,3,70
0,65.439,59.902,72.159,78.85,86.835,54,macaquepose,3,130
0,61.975,57.738,67.06,75.31,82.495,60,macaquepose,2,160
0,64.493,60.205,69.543,78.429,86.468,57,macaquecpw,3,100
0,65.704,61.784,70.273,81.233,87.398,56,macaquecpw,2,150
0,60.717,55.472,67.237,66.884,78.249,54,macaquepose,1,40
0,62.057,57.918,67.007,73.466,81.773,57,macaquepose,1,30
0,66.762,62.783,71.353,81.417,88.231,57,macaquecpw,3,170
0,66.963,63.007,71.482,81.85,88.038,57,macaquecpw,2,120
0,64.02,58.901,69.904,73.27,83.606,57,macaquecp,1,140
0,64.931,59.087,72.089,76.555,84.79,51,macaquepose,3,140
0,61.77,57.396,67.095,74.545,82.017,56,macaquepose,2,110
0,62.229,56.43,69.32,73.104,81.977,52,macaquecp,1,30
0,57.078,50.263,65.237,61.287,74.018,54,macaquecpw,3,10
0,65.077,60.706,70.147,78.79,86.399,57,macaquecpw,2,220
0,58.011,52.157,65.189,64.886,76.327,55,macaquecpw,1,20
0,61.812,57.236,67.357,75.084,82.178,57,macaquepose,2,210
0,61.549,55.957,68.185,72.132,81.31,57,macaquepose,2,50
0,64.992,61.29,69.24,79.117,86.014,55,macaquepose,1,210
0,65.108,60.529,70.315,78.636,85.912,57,macaquecp,3,210
0,64.977,60.701,69.891,75.209,83.694,60,macaquecpw,1,220
0,62.394,57.777,67.818,75.695,84.081,56,macaquepose,1,110
0,65.545,60.53,71.419,80.13,87.163,56,macaquecp,2,140
0,66.243,61.425,71.838,74.907,84.549,60,macaquecp,2,50
0,65.087,60.487,70.445,79.383,86.732,56,macaquecp,3,110
0,66.929,62.873,71.687,81.387,88.195,56,macaquecpw,3,180
0,65.665,61.268,70.64,75.755,85.378,58,macaquecpw,1,120
0,60.934,54.331,68.69,64.115,77.647,53,macaquecpw,2,40
