metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
lemurs_nopretrain_150_1e-5,56.829,47.252,74.717,52.003,69.391,78.564,87.001,77.824,60.302,77.504,69.895,54.172,54.846,74.135,54.966,64.954,86.672,48,36,16,17383,9379,2673,32,36,27,12,170,38.046,70.686,61.83,82.504,16547,10215,3509,20056,26762,85,75
lemurs_nopretrain_150_5e-5,62.537,54.921,76.137,59.617,73.875,79.451,87.964,79.591,65.798,81.591,73.695,60.128,66.49,76.472,66.583,73.642,91.253,64,25.333,10.667,19708,7054,1889,25,48,19,8,168,49.163,77.723,70.223,87.017,18793,7969,2804,21597,26762,95,75
lemurs_nopretrain_160,57.387,47.453,72.903,53.073,70.39,76.05,84.991,79.933,61.194,74.45,73.73,54.892,55.179,76.891,55.28,65.339,86.659,50.667,30.667,18.667,17486,9276,2692,27,38,23,14,140,40.08,71.184,62.428,82.798,16707,10055,3471,20178,26762,92,75
lemurs_nopretrain_160_1e-5,57.916,49.54,72.265,54.233,70.169,75.67,83.329,77.732,61.262,79.587,69.875,55.611,57.813,74.213,57.918,67.603,87.469,52,32,16,18092,8670,2592,28,39,24,12,154,40.38,72.466,64.237,83.113,17191,9571,3493,20684,26762,84,75
lemurs_nopretrain_160_5e-5,61.831,53.801,74.64,58.901,72.702,77.375,85.068,79.379,65.281,81.57,72.992,59.539,64.834,76.103,64.958,72.988,90.089,61.333,26.667,12,19533,7229,2149,33,46,20,9,158,47.393,77.467,70.114,86.542,18764,7998,2918,21682,26762,94,75
lemurs_nopretrain_170,58.65,50.631,71.633,55.426,72.448,74.338,84.875,79.437,61.938,76.975,72.879,56.098,59.958,76.299,60.07,68.287,89.26,50.667,36,13.333,18275,8487,2199,30,38,27,10,164,43.773,73.126,64.536,84.356,17271,9491,3203,20474,26762,93,75
lemurs_nopretrain_170_1e-5,57.79,48.679,72.879,53.402,70.377,75.825,84.371,78.225,61.15,77.683,70.997,55.153,58.878,74.348,59.02,67.45,88.891,50.667,33.333,16,18051,8711,2256,38,38,25,12,161,41.576,73.598,64.722,85.296,17321,9441,2986,20307,26762,91,75
lemurs_nopretrain_170_5e-5,61.6,53.844,73.947,58.796,73.732,76.528,85.613,79.98,64.95,80.425,73.619,59.208,63.396,77.263,63.519,71.631,89.827,58.667,29.333,12,19170,7592,2171,33,44,22,9,151,47.109,75.7,68.033,85.315,18207,8555,3134,21341,26762,95,75
lemurs_nopretrain_180,57.797,47.982,73.126,52.718,71.985,75.663,85.325,79.847,61.082,75.543,73.551,55.563,57.742,76.52,57.862,65.548,89.505,49.333,34.667,16,17542,9220,2057,32,37,26,12,165,42.351,72.401,62.712,85.632,16783,9979,2816,19599,26762,83,75
lemurs_nopretrain_180_1e-5,56.325,46.93,72.175,51.377,69.745,75.379,83.955,77.831,59.546,76.662,70.229,53.839,55.59,73.914,55.736,64.7,87.831,46.667,36,17.333,17315,9447,2399,39,35,27,13,170,38.712,71.572,62.148,84.366,16632,10130,3082,19714,26762,87,75
lemurs_nopretrain_180_5e-5,62.428,54.352,75.705,59.505,73.285,78.444,86.193,79.92,65.934,81.515,73.695,60.072,64.678,76.984,64.786,72.992,89.894,62.667,25.333,12,19534,7228,2196,29,47,19,9,164,47.878,77.27,70.006,86.217,18735,8027,2995,21730,26762,92,75
lemurs_nopretrain_190,59.365,50.282,73.292,54.82,72.895,76.132,84.724,79.633,62.499,78.406,73.448,57.587,59.939,76.54,60.078,67.641,89.943,53.333,30.667,16,18102,8660,2024,37,40,23,12,156,44.071,74.228,65.025,86.465,17402,9360,2724,20126,26762,86,75
