metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
lemurs_0.01_0.5_0.7_0.2_singlekalman,60.391,50.969,74.017,71.526,56.997,78.229,81.335,80.524,72.008,78.431,74.597,58.507,49.686,77.918,49.832,87.662,69.855,78.667,16,5.3333,23460,3302,10124,39,59,12,4,120,30.328,73.321,82.666,65.874,22123,4639,11461,33584,26762,112,75
lemurs_0.01_0.5_0.7_0.3_doublekalman,68.704,63.689,76.519,68.335,77.448,79.221,85.652,81.249,71.667,87.496,76.9,67.284,79.96,78.41,80.05,84.142,95.363,74.667,17.333,8,22518,4244,1095,24,56,13,6,124,61.794,85.614,80.577,91.323,21564,5198,2049,23613,26762,92,75
lemurs_0.01_0.5_0.7_0.3_singlekalman,61.241,52.114,74.421,71.598,58.387,78.598,81.539,80.539,72.255,79.662,74.655,59.472,52.956,77.917,53.094,87.86,71.649,78.667,16,5.3333,23513,3249,9304,37,59,12,4,109,33.553,74.567,83.002,67.687,22213,4549,10604,32817,26762,109,75
lemurs_0.01_0.5_0.7_0.4_doublekalman,68.701,63.688,76.513,68.339,77.443,79.217,85.65,81.251,71.666,87.51,76.893,67.29,79.919,78.419,80.016,84.13,95.338,74.667,17.333,8,22515,4247,1101,26,56,13,6,123,61.763,85.601,80.569,91.303,21562,5200,2054,23616,26762,92,75
lemurs_0.01_0.5_0.7_0.4_singlekalman,61.367,52.347,74.403,71.591,58.684,78.641,81.495,80.541,72.242,79.779,74.687,59.584,53.673,77.919,53.808,87.901,72.053,78.667,16,5.3333,23524,3238,9124,36,59,12,4,108,34.264,74.674,82.886,67.943,22182,4580,10466,32648,26762,109,75
lemurs_0.01_0.5_0.7_0.5_doublekalman,68.79,63.85,76.519,68.358,77.662,79.219,85.632,81.269,71.678,87.566,76.979,67.408,80.061,78.464,80.151,84.086,95.53,74.667,17.333,8,22503,4259,1053,24,56,13,6,123,61.953,85.663,80.532,91.493,21552,5210,2004,23556,26762,91,75
lemurs_0.01_0.5_0.7_0.5_singlekalman,61.372,52.357,74.401,71.601,58.692,78.629,81.487,80.551,72.244,79.766,74.703,59.588,53.58,77.968,53.718,87.856,72.017,78.667,16,5.3333,23512,3250,9136,37,59,12,4,110,34.223,74.681,82.894,67.949,22184,4578,10464,32648,26762,109,75
lemurs_0.01_0.5_0.7_0.6_doublekalman,68.8,63.875,76.514,68.387,77.659,79.217,85.627,81.27,71.69,87.578,76.98,67.417,80.11,78.463,80.2,84.13,95.536,74.667,17.333,8,22515,4247,1052,24,56,13,6,120,61.991,85.676,80.562,91.484,21560,5202,2007,23567,26762,91,75
lemurs_0.01_0.5_0.7_0.6_singlekalman,61.509,52.593,74.404,71.62,58.973,78.637,81.491,80.555,72.255,79.946,74.717,59.734,54.193,77.969,54.327,87.886,72.367,78.667,16,5.3333,23520,3242,8981,36,59,12,4,107,34.83,74.893,82.924,68.281,22192,4570,10309,32501,26762,108,75
lemurs_0.01_0.5_0.7_0.7_doublekalman,68.795,63.872,76.503,68.339,77.729,79.188,85.631,81.295,71.66,87.49,77.05,67.411,80.263,78.462,80.356,84.138,95.699,74.667,17.333,8,22517,4245,1012,25,56,13,6,119,62.142,85.737,80.558,91.627,21559,5203,1970,23529,26762,92,75
lemurs_0.01_0.5_0.7_0.7_singlekalman,61.291,52.242,74.369,71.601,58.553,78.587,81.443,80.565,72.228,79.6,74.722,59.479,53.363,77.968,53.501,87.893,71.876,78.667,16,5.3333,23522,3240,9204,37,59,12,4,106,33.998,74.607,82.92,67.808,22191,4571,10535,32726,26762,109,75
lemurs_0.01_0.5_0.7_0.8_doublekalman,68.8,63.88,76.5,68.345,77.736,79.185,85.626,81.298,71.663,87.492,77.057,67.418,80.278,78.466,80.371,84.145,95.707,74.667,17.333,8,22519,4243,1010,25,56,13,6,119,62.158,85.741,80.562,91.632,21560,5202,1969,23529,26762,92,75
lemurs_0.01_0.5_0.7_0.8_singlekalman,61.536,52.459,74.625,71.669,58.784,78.802,81.755,80.586,72.397,80.021,74.791,59.849,53.815,77.976,53.95,87.934,72.125,78.667,16,5.3333,23533,3229,9095,36,59,12,4,102,34.449,75.147,83.383,68.392,22315,4447,10313,32628,26762,108,75
lemurs_0.01_0.5_0.7_0.9_doublekalman,68.799,63.877,76.505,68.342,77.732,79.189,85.629,81.296,71.663,87.492,77.054,67.416,80.278,78.463,80.371,84.145,95.707,74.667,17.333,8,22519,4243,1010,25,56,13,6,119,62.156,85.741,80.562,91.632,21560,5202,1969,23529,26762,92,75
lemurs_0.01_0.5_0.7_0.9_singlekalman,61.581,52.5,74.677,71.704,58.812,78.839,81.791,80.597,72.439,80.021,74.826,59.876,53.819,77.978,53.95,87.934,72.125,78.667,16,5.3333,23533,3229,9095,35,59,12,4,102,34.454,75.279,83.529,68.512,22354,4408,10274,32628,26762,108,75
