metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
lemurs_0.01_0.4_0.9_0.9_singlekalman,68.037,63.432,75.552,71.624,72.863,78.984,83.081,80.73,72.845,88.319,75.415,66.606,77.703,77.975,77.898,88.099,89.623,78.667,16,5.3333,23577,3185,2730,52,59,12,4,145,58.299,84.392,83.675,85.122,22393,4369,3914,26307,26762,101,75
lemurs_0.01_0.4_0.9_0_doublekalman,66.414,59.687,76.298,69.863,69.805,80.03,82.387,80.926,72.34,85.839,76.05,65.281,72.648,78.035,72.865,86.473,86.402,78.667,14.667,6.6667,23142,3620,3642,58,59,11,5,140,53.654,82.968,83.002,82.934,22213,4549,4571,26784,26762,83,75
lemurs_0.01_0.4_0.9_0_singlekalman,65.643,58.557,76.104,72.023,66.095,80.091,82.386,80.522,73.318,85.995,74.837,64.356,66.972,77.864,67.237,88.103,80.852,78.667,16,5.3333,23578,3184,5584,71,59,12,4,154,47.47,82.058,85.737,78.681,22945,3817,6217,29162,26762,96,75
lemurs_0.01_0.4_0.9_1_doublekalman,69.006,63.901,76.962,69.806,75.719,80.029,84.197,80.998,72.636,89.286,76.1,67.947,80.562,78.179,80.726,86.458,93.782,78.667,13.333,8,23138,3624,1534,44,59,10,6,129,61.696,86.215,82.849,89.867,22172,4590,2500,24672,26762,86,75
lemurs_0.01_0.4_0.9_1_singlekalman,68.152,63.428,75.827,71.353,73.132,79.141,83.373,80.693,72.838,88.706,75.199,66.706,78.021,78.01,78.242,87.904,90.096,78.667,16,5.3333,23525,3237,2586,59,59,12,4,142,58.691,84.72,83.69,85.776,22397,4365,3714,26111,26762,103,75
lemurs_0.01_0.5_0.7_0.1_doublekalman,69.147,63.288,77.973,69.912,74.699,80.995,84.674,81,73.184,89.162,76.393,68.113,79.34,78.066,79.497,86.544,92.47,78.667,14.667,6.6667,23161,3601,1886,42,59,11,5,137,60.358,86.753,83.974,89.723,22473,4289,2574,25047,26762,83,75
lemurs_0.01_0.5_0.7_0.1_singlekalman,67.718,61.296,77.296,71.485,70.22,80.48,84.204,80.751,73.649,88.127,75.486,66.523,74.191,77.92,74.389,88.095,86.536,78.667,16,5.3333,23576,3186,3668,53,59,12,4,151,54.739,84.535,85.296,83.787,22827,3935,4417,27244,26762,97,75
lemurs_0.01_0.5_0.7_0.2_doublekalman,69.285,63.634,77.861,69.905,75.199,80.825,84.682,81.025,73.129,89.254,76.421,68.209,79.953,78.07,80.061,86.511,93.062,78.667,14.667,6.6667,23152,3610,1726,29,59,11,5,135,60.981,86.751,83.697,90.035,22399,4363,2479,24878,26762,83,75
lemurs_0.01_0.5_0.7_0.2_singlekalman,67.768,61.865,76.741,71.491,70.945,79.807,84.233,80.748,73.377,88.123,75.5,66.533,75.45,77.898,75.637,88.203,87.53,80,14.667,5.3333,23605,3157,3363,50,60,11,4,156,55.956,84.463,84.788,84.14,22691,4071,4277,26968,26762,99,75
lemurs_0.01_0.5_0.7_0.3_doublekalman,69.644,64.283,77.867,69.739,76.356,80.837,84.779,81.056,73.05,89.836,76.377,68.614,81.141,78.143,81.238,86.287,94.473,78.667,14.667,6.6667,23092,3670,1351,26,59,11,5,126,62.281,87.085,83.312,91.216,22296,4466,2147,24443,26762,81,75
lemurs_0.01_0.5_0.7_0.3_singlekalman,68.381,63.175,76.547,71.472,72.708,79.574,84.531,80.768,73.272,88.994,75.514,67.203,77.89,77.941,78.085,88.192,89.718,80,14.667,5.3333,23602,3160,2705,52,60,11,4,148,58.436,85.187,84.463,85.924,22604,4158,3703,26307,26762,99,75
lemurs_0.01_0.5_0.7_0.4_doublekalman,69.634,64.34,77.798,69.85,76.299,80.742,84.761,81.066,73.069,89.592,76.456,68.498,80.969,78.145,81.1,86.324,94.294,78.667,14.667,6.6667,23102,3660,1398,35,59,11,5,125,62.103,87.269,83.581,91.298,22368,4394,2132,24500,26762,83,75
lemurs_0.01_0.5_0.7_0.4_singlekalman,68.602,63.349,76.826,71.575,72.824,79.835,84.419,80.769,73.461,89.245,75.496,67.376,77.924,77.954,78.137,88.211,89.75,80,14.667,5.3333,23607,3155,2696,57,60,11,4,146,58.477,85.653,84.919,86.401,22726,4036,3577,26303,26762,97,75
lemurs_0.01_0.5_0.7_0.5_doublekalman,70.188,64.662,78.6,69.409,77.362,81.38,85.75,81.153,73.223,90.225,76.777,69.272,81.429,78.277,81.5,85.61,95.419,78.667,13.333,8,22911,3851,1100,19,59,10,6,125,62.832,87.783,83.271,92.812,22285,4477,1726,24011,26762,82,75
lemurs_0.01_0.5_0.7_0.5_singlekalman,68.73,63.764,76.661,71.382,73.607,79.712,84.504,80.823,73.264,89.204,75.688,67.517,78.963,77.995,79.138,88.058,90.803,78.667,16,5.3333,23566,3196,2387,47,59,12,4,144,59.586,85.71,84.414,87.046,22591,4171,3362,25953,26762,98,75
lemurs_0.01_0.5_0.7_0.6_doublekalman,70.294,64.684,78.753,69.394,77.422,81.56,85.698,81.167,73.305,90.355,76.822,69.413,81.455,78.294,81.515,85.573,95.473,78.667,13.333,8,22901,3861,1086,16,59,10,6,120,62.88,88.065,83.499,93.159,22346,4416,1641,23987,26762,83,75
lemurs_0.01_0.5_0.7_0.6_singlekalman,68.158,63.338,75.904,71.38,73.053,78.939,84.097,80.83,72.898,88.085,75.714,66.693,78.144,77.997,78.309,88.009,90.072,78.667,16,5.3333,23553,3209,2596,44,59,12,4,138,58.78,84.92,83.947,85.915,22466,4296,3683,26149,26762,99,75
lemurs_0.01_0.5_0.7_0.7_doublekalman,70.243,64.602,78.738,69.306,77.418,81.546,85.712,81.173,73.252,90.267,76.853,69.373,81.444,78.293,81.511,85.517,95.526,78.667,13.333,8,22886,3876,1072,18,59,10,6,117,62.881,87.993,83.383,93.142,22315,4447,1643,23958,26762,84,75
lemurs_0.01_0.5_0.7_0.7_singlekalman,68.754,63.716,76.707,71.226,73.727,79.585,84.861,80.835,73.227,89.097,75.69,67.437,78.705,78.021,78.851,87.729,90.81,78.667,16,5.3333,23478,3284,2376,39,59,12,4,133,59.423,85.894,84.437,87.402,22597,4165,3257,25854,26762,100,75
lemurs_0.01_0.5_0.7_0.8_doublekalman,70.038,64.404,78.514,69.061,77.489,81.318,85.723,81.208,73.018,89.936,76.891,69.153,81.044,78.361,81.104,85.113,95.501,77.333,14.667,8,22778,3984,1073,16,58,11,6,116,62.626,87.756,82.983,93.111,22208,4554,1643,23851,26762,84,75
lemurs_0.01_0.5_0.7_0.8_singlekalman,68.833,64.092,76.448,71.119,74.377,79.301,84.975,80.887,73.044,88.88,75.944,67.499,79.209,78.105,79.336,87.479,91.485,78.667,16,5.3333,23411,3351,2179,34,59,12,4,127,60.056,85.758,83.88,87.722,22448,4314,3142,25590,26762,101,75
lemurs_0.01_0.5_0.7_0.9_doublekalman,69.899,64.266,78.375,68.945,77.447,81.177,85.696,81.212,72.889,89.769,76.858,68.995,80.797,78.376,80.861,84.941,95.416,76,16,8,22732,4030,1092,17,57,12,6,114,62.429,87.582,82.774,92.982,22152,4610,1672,23824,26762,85,75
lemurs_0.01_0.5_0.7_0.9_singlekalman,68.789,63.977,76.48,71.037,74.32,79.321,85.021,80.889,73.019,88.929,75.893,67.491,79.064,78.12,79.179,87.381,91.419,78.667,16,5.3333,23385,3377,2195,31,59,12,4,127,59.945,85.732,83.839,87.713,22437,4325,3143,25580,26762,102,75
lemurs_0.01_0.5_0.7_0_doublekalman,68.259,62.314,77.213,69.787,73.509,80.532,83.834,80.997,72.743,87.969,76.324,67.142,77.801,78.082,77.95,86.443,91.054,78.667,14.667,6.6667,23134,3628,2273,40,59,11,5,144,58.854,85.342,83.181,87.618,22261,4501,3146,25407,26762,83,75
lemurs_0.01_0.5_0.7_0_singlekalman,67.409,60.923,77.076,71.532,69.673,80.346,83.971,80.724,73.561,87.844,75.393,66.228,73.231,77.942,73.455,88.061,85.773,78.667,16,5.3333,23567,3195,3909,60,59,12,4,161,53.806,84.019,85.139,82.927,22785,3977,4691,27476,26762,98,75
lemurs_0.01_0.5_0.7_1_doublekalman,69.855,64.058,78.514,68.98,77.105,81.298,85.747,81.22,72.977,89.786,76.831,68.983,80.738,78.332,80.816,85.139,95.167,76,16,8,22785,3977,1157,21,57,12,6,117,62.289,87.65,83.032,92.812,22221,4541,1721,23942,26762,86,75
lemurs_0.01_0.5_0.7_1_singlekalman,69.126,64.454,76.65,71.034,74.966,79.451,85.292,80.891,73.104,89.433,75.898,67.878,79.848,78.119,79.972,87.363,92.2,78.667,16,5.3333,23380,3382,1978,33,59,12,4,130,60.733,86.239,83.977,88.627,22474,4288,2884,25358,26762,102,75
lemurs_0.01_0.5_0.8_0.1_doublekalman,68.481,62.033,77.992,69.882,73,81.438,83.829,80.981,73.181,88.526,76.295,67.541,77.15,78.07,77.263,86.496,90.355,78.667,14.667,6.6667,23148,3614,2471,30,59,11,5,138,58.182,85.844,84.011,87.759,22483,4279,3136,25619,26762,79,75
lemurs_0.01_0.5_0.8_0.1_singlekalman,66.951,60.803,76.266,72.098,68.905,79.801,83.127,80.612,73.439,87.358,75.182,65.677,73.328,77.717,73.56,89.096,85.151,78.667,17.333,4,23844,2918,4158,62,59,13,3,160,53.474,83.478,85.412,81.63,22858,3904,5144,28002,26762,93,75
lemurs_0.01_0.5_0.8_0.2_doublekalman,68.465,61.944,78.07,70.026,72.705,81.467,83.893,80.968,73.291,88.476,76.262,67.473,76.814,78.042,76.967,86.642,89.956,78.667,14.667,6.6667,23187,3575,2589,41,59,11,5,134,57.789,85.949,84.366,87.593,22578,4184,3198,25776,26762,80,75
lemurs_0.01_0.5_0.8_0.2_singlekalman,67.39,61.1,76.863,72.127,69.239,80.353,83.407,80.601,73.752,87.98,75.223,66.181,73.832,77.705,74.083,89.126,85.559,78.667,17.333,4,23852,2910,4026,67,59,13,3,156,53.961,84.239,85.995,82.553,23014,3748,4864,27878,26762,93,75
lemurs_0.01_0.5_0.8_0.3_doublekalman,69.635,63.564,78.688,69.98,75,81.967,84.525,80.963,73.57,90.271,76.163,68.753,79.605,78.073,79.751,86.529,92.736,78.667,14.667,6.6667,23157,3605,1814,39,59,11,5,135,60.632,87.364,84.441,90.497,22598,4164,2373,24971,26762,78,75
lemurs_0.01_0.5_0.8_0.3_singlekalman,67.333,61.642,76.087,71.664,70.471,79.451,83.345,80.688,73.133,87.735,75.344,66.103,74.636,77.9,74.871,88.282,86.812,78.667,16,5.3333,23626,3136,3589,63,59,12,4,159,55.125,83.528,84.235,82.833,22543,4219,4672,27215,26762,93,75
lemurs_0.01_0.5_0.8_0.4_doublekalman,69.619,63.769,78.428,69.995,75.265,81.587,84.578,80.983,73.448,90.034,76.268,68.668,80.058,78.083,80.211,86.604,93.125,78.667,14.667,6.6667,23177,3585,1711,41,59,11,5,128,61.076,87.264,84.209,90.55,22536,4226,2352,24888,26762,80,75
lemurs_0.01_0.5_0.8_0.4_singlekalman,67.961,62.11,76.864,71.681,71.076,80.097,83.849,80.732,73.537,88.471,75.479,66.777,75.678,77.924,75.944,88.398,87.651,80,14.667,5.3333,23657,3105,3333,71,60,11,4,152,56.164,84.845,85.207,84.487,22803,3959,4187,26990,26762,96,75
lemurs_0.01_0.5_0.8_0.5_doublekalman,69.773,64.053,78.416,70.017,75.66,81.386,84.905,81.023,73.457,90.094,76.361,68.797,80.442,78.135,80.569,86.556,93.531,78.667,14.667,6.6667,23164,3598,1602,34,59,11,5,128,61.517,87.378,84.119,90.899,22512,4250,2254,24766,26762,81,75
lemurs_0.01_0.5_0.8_0.5_singlekalman,68.371,62.696,77.078,71.595,71.925,80.225,83.983,80.721,73.596,89.169,75.366,67.203,76.878,77.951,77.121,88.33,88.738,80,14.667,5.3333,23639,3123,3000,65,60,11,4,150,57.402,85.216,85.02,85.412,22753,4009,3886,26639,26762,94,75
lemurs_0.01_0.5_0.8_0.6_doublekalman,69.525,63.854,78.115,69.78,75.689,81.11,84.617,81.022,73.188,89.703,76.194,68.348,80.125,78.175,80.259,86.227,93.527,78.667,13.333,8,23076,3686,1597,36,59,10,6,127,61.306,86.816,83.428,90.492,22327,4435,2346,24673,26762,84,75
lemurs_0.01_0.5_0.8_0.6_singlekalman,68.44,63.016,76.859,71.598,72.35,80.029,83.811,80.725,73.489,89.167,75.346,67.183,77.442,77.959,77.67,88.316,89.243,80,14.667,5.3333,23635,3127,2849,61,60,11,4,146,57.976,85.313,84.87,85.761,22713,4049,3771,26484,26762,97,75
lemurs_0.01_0.5_0.8_0.7_doublekalman,69.712,64.173,78.133,69.525,76.484,81.137,84.824,81.077,73.067,89.858,76.371,68.625,80.794,78.224,80.895,85.898,94.496,78.667,13.333,8,22988,3774,1339,27,59,10,6,123,62.088,87.091,83.129,91.45,22247,4515,2080,24327,26762,83,75
lemurs_0.01_0.5_0.8_0.7_singlekalman,68.924,63.59,77.206,71.362,73.391,80.366,84.32,80.782,73.547,89.821,75.525,67.837,78.791,77.972,78.97,88.103,90.608,78.667,16,5.3333,23578,3184,2444,48,59,12,4,141,59.383,86.159,84.967,87.384,22739,4023,3283,26022,26762,97,75
